Qubit,T1,T2,Readout_Error,Gate_Error
68,9.199464655607702e-05,8.592408956150367e-05,0.0081787109375,0.0004036213049053735
69,0.00010561934238962859,5.8683016706620815e-05,0.003173828125,0.0003783990189715699
70,9.94826016611479e-05,7.997694248298357e-05,0.00537109375,0.0002938673222314562
71,0.00016942181092899307,0.00014160265431848056,0.0050048828125,0.00031614996502770304
72,7.158666952819199e-06,,0.4256591796875,1.0
73,0.00018745379534156146,8.005727387929653e-05,0.060302734375,0.00021965267974488758
74,0.00011265587208906688,0.00010795763463363432,0.0093994140625,0.000365637611261813
75,0.00016251846009830885,0.00015336728082235965,0.05078125,0.00047740891954844517
76,0.00012604480385485845,8.792039877937912e-05,0.025390625,0.0004251117852919675
77,9.727223489434554e-05,4.822433291838882e-05,0.0123291015625,0.00031200519368195146
78,6.117444763384859e-05,5.140245045646651e-05,0.0118408203125,0.0003082830291084893
79,0.00014082079885516658,2.52529141410988e-05,0.0091552734375,0.0003559930149982768
80,0.0001337416663898543,0.00010638349007389751,0.004638671875,0.00018821176375623336
81,0.00012078384764097545,2.053430741075292e-05,0.025146484375,0.00024631708778752407
82,0.00013558557205296513,3.450278607975339e-05,0.0050048828125,0.0012577420098490693
83,0.00019122355351055024,0.0001517531827108231,0.1253662109375,0.00022264045022821639
84,0.00012780516206729092,0.00015010282784562627,0.005859375,0.0002083771482064929
85,0.00020845373517912837,3.762640192601056e-05,0.0062255859375,0.0002298299030996018
86,0.00012148148012642265,7.71234409493836e-05,0.0067138671875,0.0002855425348103265
87,9.295787354050176e-05,0.00011077820210912627,0.0301513671875,0.00026253895750534377
88,8.313544575137432e-05,0.00010617365370014775,0.004638671875,0.0003105934492751471
89,0.00018583761077663988,6.401646195647597e-05,0.01171875,0.00032321325922787363
90,9.391717910626438e-05,0.00010317079241525326,0.0068359375,0.0002731592627665016
91,0.0001549392087337528,2.1881910189719295e-05,0.015625,0.0002325872449261897
92,0.0001237124950278979,0.00016018720969499943,0.0062255859375,0.0004879774334959676
93,0.0001793624812831661,0.00015225617629435946,0.0185546875,0.0004642750198068423
94,0.00013967208381924704,5.9302667540319526e-05,0.00634765625,0.0004941213357409944
95,9.810510608288244e-05,0.00011799027720160053,0.0130615234375,0.00039278607603099373
96,0.00013475898197835463,0.00012087648274004135,0.0107421875,0.00029637309419361965
97,0.00010582514947876872,0.00013626271567137362,0.0059814453125,0.00038686387345969415
98,0.00012868836703434078,2.004053361347204e-05,0.0052490234375,0.0002083587947047018
99,0.00010100399526945609,3.093187595226085e-05,0.0191650390625,0.0002163417013615826
100,0.00014757601771146563,3.4194810027300726e-05,0.009521484375,0.0015950962384752468
101,0.0001817060571159722,0.00018559381950384292,0.047119140625,0.0002492549744229055
102,0.00010996724151046007,3.630396387019682e-05,0.016357421875,0.0004051054282249217
103,5.885389272236858e-05,7.63356979593332e-05,0.007568359375,0.0002669814837743852
104,0.00011143334352829818,0.00010657016430462388,0.008056640625,0.000259247092280342
105,0.00016557264563325062,0.00017182761146444702,0.012939453125,0.00021080268949777003
106,8.561792820690196e-05,9.083791659113353e-05,0.0045166015625,0.00021546201641840565
107,0.00011034216334030116,2.2140885143400248e-05,0.0072021484375,0.00044737583797228116
108,7.368662342316883e-05,8.920119123475357e-05,0.004638671875,0.0004793689808760059
109,0.0001882276705965867,7.711650618703604e-05,0.0118408203125,0.00021119219722125554
110,0.0001688154233964409,0.00011907255298667606,0.0045166015625,0.00019102262301261668
111,0.00015384200470535764,0.00010520209390654934,0.00927734375,0.00022903093868862368
112,0.00015364098435103205,0.00012210789332589095,0.0081787109375,0.00026490306420680397
113,0.00015164745372802402,3.3831335222007964e-05,0.0660400390625,0.00021015939125357808
114,0.00015310840730813316,0.00011511567886972472,0.0047607421875,0.0003333009909251836
115,0.00015985662859097378,0.0001894767731992321,0.003662109375,0.00015993040928215553
116,6.565024888778276e-05,6.787909814158147e-05,0.017333984375,0.00021718190613970872
117,0.0001485310949604519,0.00016634599142298403,0.009521484375,0.00023846756793588505
118,0.00011775802721765765,5.357572012301254e-05,0.0045166015625,0.0002181066249347461
119,0.0001048417125699905,0.0001456735261960721,0.0091552734375,0.0005397036696810759
120,0.00017438506276485274,0.00020080993327227213,0.0079345703125,0.0002550024572483624
121,0.00013297491247975018,0.00013175087848438772,0.0093994140625,0.0002418443302016774
122,0.00013050790831235624,5.725105736715561e-05,0.0072021484375,0.0004225765359337428
123,0.00011995492351784603,0.0001005584675565695,0.0062255859375,0.0002027853544720431
124,0.00012352623742833925,0.00013991285871177905,0.0045166015625,0.00023928595800664203
125,0.00019789370603405735,5.2805413453454565e-05,0.01318359375,0.00019501589101400017
126,0.00011691829051120634,7.554046320945624e-05,0.0802001953125,0.0012114775809103423
127,7.709271832266482e-05,8.950714995462856e-05,0.0064697265625,0.00022590174263754998
128,9.983594159585886e-05,4.461779725050976e-05,0.015625,0.0002724259083274287
129,0.00012312382299127416,0.00010811963900525923,0.0106201171875,0.00029398458349450934
130,0.00018248042877700408,0.00014261172225997381,0.0048828125,0.0005104341998263236
131,0.00018955374482779354,0.00019323044922502834,0.0755615234375,0.00012327207220069384
132,0.0001385267129671344,0.00011610515000074577,0.005859375,0.00015658853523614085
133,0.0001518884441400552,4.3012185330635835e-05,0.0101318359375,0.00024030268012814441
134,0.00014969601303467422,4.177429911990864e-05,0.0045166015625,0.00037646490141013595
135,0.000179498437484533,0.0002132229875445505,0.0419921875,0.00017589337250254632
136,0.00010369549142981672,0.00010053646408222896,0.0045166015625,0.0002378169860988066
137,0.00014768910335002987,0.00019036480804674531,0.005615234375,0.00020951348456594944
138,9.737705822501351e-05,0.00013829657491662604,0.0079345703125,0.0003129291511695907
139,0.00013482708530715648,4.0252130864226194e-05,0.0096435546875,0.0004686359162313527
140,0.000123787786701506,0.00020280226031988604,0.0108642578125,0.00024215749644934515
141,0.0001271415495494944,9.354003587239131e-05,0.0050048828125,0.0001599393031053039
142,9.326225520547754e-05,0.00010248949999265022,0.00537109375,0.00035128983394955537
143,0.00011050488152620115,8.685599682953106e-05,0.0042724609375,0.00014981592544051825
144,0.0001572437460422327,0.00021615505480630895,0.0050048828125,0.00034163968716588916
145,0.00019379957043443686,0.0001582769066960889,0.013671875,0.0001916831303421235
146,0.0001086287042212253,4.227175101128246e-05,0.00537109375,0.00016185994587557934
147,0.00014534253524822619,0.00012390727392474688,0.0054931640625,0.0002278497609252014
148,9.633658398135068e-05,0.0001158730341880548,0.005615234375,0.00038120930705189354
149,5.8319169123634756e-05,5.271590888521691e-06,0.0447998046875,0.0013616301649198611
150,0.00016480859045467646,6.75930250261889e-06,0.0037841796875,0.0009329359685438068
151,8.854472844722852e-05,9.156020661091335e-05,0.0068359375,0.0001959260876357052
152,7.671086073347251e-05,9.426831689380194e-05,0.0068359375,0.00045904489397991053
153,0.00010024839594181718,4.441741118241986e-05,0.0103759765625,0.00024353390198012212
154,7.66427542432387e-05,7.232417653529632e-05,0.0054931640625,0.0003096974609916269
155,0.00013844420168437929,1.5608442829492453e-05,0.0081787109375,0.00015932727403180808
